text,label_text
“Appellant takes issue with our statement in the original opinion that the holding in Rotner v.,"Facts, Invalid sentences, Invalid sentences, Facts"
"“The statements and conduct of prosecutrix said and done shortly after the transaction may be proved as original evidence if suffering excludes the idea of fabrication, and the statements or conduct are spontaneous and instinctive, and there is no break or let-down in the continuity of the transaction.","Facts, Analysis, Analysis, Facts"
"237, 312 S.W. 2d 517, held that when a motion for continuance was not sworn to personally by appellant, he could not complain of the action of the trial court in overruling the motion.","Rule/Law/Holding, Invalid sentences, Invalid sentences, Rule/Law/Holding"
"258, 262 S.W. 2d 488, this court held, the prosecution being for unlawfully possessing whisky and other alcoholic beverages for the purpose of sale in a dry area, that an officer’s reading to the jury labels on bottles of beer and whisky claimed to have been found in and about appellant’s house was not error when the appellant objected on the grounds of hearsay.","Rule/Law/Holding, Invalid sentences, Invalid sentences, Rule/Law/Holding"
"488, 278 S.W. 2d 167, wherein it was held that where subpoena for a witness had not been issued, the overruling of the motion for continuance was not error.","Rule/Law/Holding, Invalid sentences, Invalid sentences, Rule/Law/Holding"
"508, 243 S.W. 2d 846, a death penalty conviction, we held no reversible error was reflected by argument not objected to where no mandatory provision of the statutes are violated and no new and harmful fact is injected into the case.","Rule/Law/Holding, Invalid sentences, Conclusion, Issue"
"After carefully reviewing the evidence, we find that appellant failed to introduce evidence upon which the jury could base","Analysis, Invalid sentences, Conclusion, Facts"
"Appellant did not comply with the terms of Art. 540, V.A.C.C.P., which provides for the continuance of criminal actions on the written application of the state or of the defendant upon sufficient cause shown, which cause shall be fully set forth in the application.","Analysis, Rule/Law/Holding, Analysis, Rule/Law/Holding"
"Appellant filed an amended answer October 21, but therein","Facts, Invalid sentences, Invalid sentences, Facts"
Appellant relies upon Rotner v.,"Facts, Invalid sentences, Invalid sentences, Facts"
"Appellant was convicted in the county court of Shelby County for negligent homicide in the second degree, with punishment assessed at a fine of $150.","Rule/Law/Holding, Issue, Issue, Rule/Law/Holding"
"Appellant was present at the commission of the offense in the sense that “present” is used in Article 66 and 69, V.A.P.C., and we find the evidence sufficient to sustain the conviction.","Analysis, Rule/Law/Holding, Conclusion, Facts"
"Art. 602-A is identical to Art. 602, except that Art. 602-A makes a subsequent offense a felony, so the question here presented is whether the caption of Senate Bill 47, as passed by the Regular Session of the 56th Legislature, was sufficiently broad to authorize the enactment hereinabove summarized.","Rule/Law/Holding, Rule/Law/Holding, Issue, Issue"
Attention is directed to the holdings of this Court in Angle v.,"Facts, Invalid sentences, Invalid sentences, Facts"
"Bill of exception No. 5, which was approved by the court, complains of the following argument:","Issue, Invalid sentences, Facts, Analysis"
"But, a search of the record fails to reveal anything authorizing a review of such contentions.","Analysis, Analysis, Facts, Facts"
"By this unsworn statement, the prosecutor got before the jury evidence which was outside the record and extremely harmful to accused.","Analysis, Analysis, Facts, Facts"
"E. Darland, whose wife and baby were the other occupants of the car.","Facts, Facts, Invalid sentences, Invalid sentences"
"He entered into such appearance bond with Toby Goldsmith and Phil Becker as sureties, conditioned that Daniels make his personal appearance instanter before Criminal District Court of","Facts, Invalid sentences, Invalid sentences, Facts"
"If not, the conviction must be reversed for insufficient evidence.","Rule/Law/Holding, Issue, Facts, Invalid sentences"
"In addition to being admissible to show lascivious intent, the two exhibits were admissible as part of the res gestae.","Analysis, Facts, Analysis, Facts"
"In the absence of a statement of facts, nothing is presented for review.","Analysis, Analysis, Facts, Facts"
"In the absence of objection to the admission of such evidence, there is nothing before us in this regard.","Analysis, Analysis, Facts, Facts"
"In view of our disposition of this case, a recitation of the facts will not be deemed necessary other than to observe that there is no evidence in the record that appellant had ever before been convicted of any offense.","Analysis, Others, Facts, Rule/Law/Holding"
It is to be noted that all this testimony was read into the record without objection.,"Analysis, Facts, Facts, Analysis"
"O’Sullivan v. Brown, 171 Fed. 2d 199, cited by appellant, may be distinguished by the fact that to enter the premises there in question one of the general public must arrange for a pass from the building manager or the Army personnel in charge, and once inside the grounds, the visitor is under military escort.","Analysis, Facts, Analysis, Facts"
ON MOTION FOR REHEARING,"Facts, Others, Others, Facts"
"R. 480, 68 S.W. 2d 1044, the collision occurred on a highway which was under construction, gates having been built across it.","Facts, Invalid sentences, Invalid sentences, Facts"
"The above contention is not presented by a formal bill of exception or by a separate statement of facts as required by Art. 760e and 759a (6), V.A.C.C.P.","Facts, Rule/Law/Holding, Rule/Law/Holding, Facts"
The caption of the act that appellant complains of reads as follows:,"Facts, Invalid sentences, Others, Conclusion"
The caption of the amendatory act restricted the purpose of the bill to a change in the definition of the offense.,"Analysis, Rule/Law/Holding, Facts, Issue"
The court found appellant guilty and punishment was assessed at confinement in the county jail for a period of six months.,"Rule/Law/Holding, Issue, Facts, Conclusion"
"The evidence does not reflect the wet or dry status of Kilgore, and, at best, is conflicting as to appellant’s own testimony as to whether the consumption was to be by him or by his employees.","Facts, Analysis, Conclusion, Rule/Law/Holding"
The facts stated are sufficient to show probable cause for the search of the automobile.,"Analysis, Analysis, Conclusion, Conclusion"
The following facts are undisputed:,"Facts, Invalid sentences, Others, Rule/Law/Holding"
"The information in the instant case charged two different ways under the statute that appellant committed the offense, namely by inviting the minor to go to the place where intoxicating liquors were sold and by causing him to drink intoxicating liquor.","Facts, Rule/Law/Holding, Analysis, Others"
"The jury resolved the issue against appellant, and the evidence is sufficient to sustain the verdict.","Conclusion, Conclusion, Facts, Facts"
The objections to the charge are that it shifts the burden of proof to the appellant; that it fails to charge the law of reason,"Issue, Invalid sentences, Analysis, Facts"
"The offense is driving while intoxicated: the punishment, 3 days in jail and a fine of $50.00.","Rule/Law/Holding, Issue, Issue, Rule/Law/Holding"
The principal was charged by complaint in the justice court with robbery and required to give bond in the sum of $2500 for his appearance in the Criminal District Court of Tarrant County.,"Rule/Law/Holding, Facts, Issue, Analysis"
The purpose of argument is to assist the jury in properly analyzing the evidence and arriving at a verdict based on the evidence alone.,"Analysis, Others, Facts, Conclusion"
"The testimony shows that the wine was placed in the custody of the district attorney at the courthouse and properly labeled at the time, by written identification on the cases, and that the bottles were those found at the scene.","Facts, Facts, Analysis, Analysis"
There is no showing that anyone other than the officers ever had the wine in custody.,"Facts, Facts, Analysis, Analysis"
"To raise the issue that the appellant as surety did not sign the bond, the answer must contain an affirmative verified plea of non est factum.","Facts, Rule/Law/Holding, Issue, Conclusion"
"Under the record, we find no error in admitting such testimony.","Analysis, Analysis, Conclusion, Conclusion"
We have been furnished with a certificate from the Texas Prison System showing that relator has served both sentences unless the cumulation be held effective.,"Analysis, Analysis, Facts, Facts"
We shall not separately discuss the remaining bills of exception.,"Analysis, Others, Facts, Issue"
We think the chain of custody of the wine in question was,"Analysis, Invalid sentences, Invalid sentences, Analysis"
With such contention we do not agree.,"Conclusion, Analysis, Conclusion, Analysis"
